id;cidade;bairro;rua;cep;numero;id_user
1;customized Small Practical;Officer Personal Loan Account online;Applications Canyon;"45057-388";14494;2034a72c-f3d7-43be-8155-7dc92b9125da
2;Response deposit;Handcrafted cross-platform;Investment Account;"32761-085";8937;3a13961c-13cc-4af3-ac9a-42309d4a6ad2
3;dynamic calculate reinvent;Gorgeous Wooden Car Stand-alone interactive;Streets;"86366-798";98877;d7d7c3ac-fa44-4961-9f7c-077835346617
4;Wyoming proactive;Chief;connecting Rand Loti Gardens;"55610-135";85613;4c071634-929b-4a05-a21c-ee73132d3efa
5;scale next-generation;COM;Cambridgeshire;"87188-497";62440;0a8d3fab-6dd3-46a1-923a-30a2b66487bf
6;Mobility Ergonomic application;Central Fish;reboot Home Loan Account input;"95447-749";88850;5062f308-4c39-488b-9bd1-492121131a89
7;contingency;Buckinghamshire;software;"41261-219";60645;e8c53bf7-cce7-4657-a264-3dbdaa7b7d0b
8;Home Loan Account Usability;Borders;Ergonomic Cotton Gloves;"54429-131";54611;4c4a9f99-bfb1-4056-9968-2aad9dcc68a1
9;digital Practical Buckinghamshire;Health artificial intelligence pixel;strategize Future-proofed;"24497-091";42052;d9158611-c413-4d4e-9429-471032b6f906
10;Fresh;monitor Extension;Fresh IB;"78896-600";46500;7790d659-8cdf-4620-b9ee-d96f79f62b30
